Product_Name,Price,Rating,Product_URL
"17 Inch Laptop, 8GB RAM 256GB SSD, Intel N5095(Up to 2.9GHz), FHD IPS 1920x1080 Screen, Windows 11, WiFi, Webcam, Bluetooth 4.2, USB 3.0, for Students and Business.",298.,3.9 out of 5 stars,https://www.amazon.com/s?i=electronics&srs=12653393011&bbn=13896617011&rh=n%3A172282%2Cn%3A541966%2Cn%3A13896617011%2Cn%3A565108&pd_rd_w=JW63o&content-id=amzn1.sym.c661e584-2d0b-4624-b031-0136573d2017:amzn1.sym.c661e584-2d0b-4624-b031-0136573d2017&pf_rd_p=c661e584-2d0b-4624-b031-0136573d2017&pf_rd_r=TAXY96WQJ822BPMERZVR&pd_rd_wg=mbUka&pd_rd_r=efedd92b-8654-4907-8e10-3526db380c9e&qid=1722276228&ref_=sxts_spks_0_0_c661e584-2d0b-4624-b031-0136573d2017
"acer Chromebook Spin 514 CP514-1H-R0VX Laptop | AMD Ryzen 3 3250C | 14"" FHD IPS Touch Display | 8GB DDR4 | 64GB eMMC | Wi-Fi 5 | HD Webcam | Backlit Keyboard | Chrome OS | Sleeve | Mouse | Green",334.,4.5 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTgxNDM1NDU2MDQxOTY3OjE3MjIyNzYyMjg6c3BfYXRmOjMwMDE5Mjg2MzQzNjcwMjo6MDo6&url=%2FXYPLOXZ-1920x1080-Bluetooth-Students-Business%2Fdp%2FB0CYBWZR6G%2Fref%3Dsr_1_1_sspa%3Fcrid%3D21S8OXJT0EGY9%26dib%3DeyJ2IjoiMSJ9.5b3mhwD9PdnPIUWzyX2WWbZpxLmMEX-arquJnDUczxjz1LlXIgeeg5xb1ruiOxga1k7ITCsEStfhUHhTf6AtJE95j26SzhfhMEoerfcnHe4EhV0oBg34y8wzoS7NPqekq6TlcEsw8qUaAISl79YE1BXoqLX5rUlBAzQme-N5j9UO7qDkZcvLpSCB_OzTGn7LG6tgYvSGTe4DDdEB0SNR2UuP2p28fQCRwAYo_zI2_1I.ClYZ0xF7BTqDkxD8P6oA3hYZEEfFZxd1sn4ojifhsCQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722276228%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",304.,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTgxNDM1NDU2MDQxOTY3OjE3MjIyNzYyMjg6c3BfYXRmOjMwMDE3OTU3NzM3OTgwMjo6MDo6&url=%2FChromebook-CP514-1H-R0VX-Display-Backlit-Keyboard%2Fdp%2FB0BBFL1JP3%2Fref%3Dsr_1_2_sspa%3Fcrid%3D21S8OXJT0EGY9%26dib%3DeyJ2IjoiMSJ9.5b3mhwD9PdnPIUWzyX2WWbZpxLmMEX-arquJnDUczxjz1LlXIgeeg5xb1ruiOxga1k7ITCsEStfhUHhTf6AtJE95j26SzhfhMEoerfcnHe4EhV0oBg34y8wzoS7NPqekq6TlcEsw8qUaAISl79YE1BXoqLX5rUlBAzQme-N5j9UO7qDkZcvLpSCB_OzTGn7LG6tgYvSGTe4DDdEB0SNR2UuP2p28fQCRwAYo_zI2_1I.ClYZ0xF7BTqDkxD8P6oA3hYZEEfFZxd1sn4ojifhsCQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722276228%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS 15.6” Vivobook Go Laptop, Intel Celeron N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",189.,4.2 out of 5 stars,https://www.amazon.com/Lenovo-IdeaPad-Ryzen5-5500U-1920x1080-Storage/dp/B0CJB5N9BQ/ref=sr_1_3?crid=21S8OXJT0EGY9&dib=eyJ2IjoiMSJ9.5b3mhwD9PdnPIUWzyX2WWbZpxLmMEX-arquJnDUczxjz1LlXIgeeg5xb1ruiOxga1k7ITCsEStfhUHhTf6AtJE95j26SzhfhMEoerfcnHe4EhV0oBg34y8wzoS7NPqekq6TlcEsw8qUaAISl79YE1BXoqLX5rUlBAzQme-N5j9UO7qDkZcvLpSCB_OzTGn7LG6tgYvSGTe4DDdEB0SNR2UuP2p28fQCRwAYo_zI2_1I.ClYZ0xF7BTqDkxD8P6oA3hYZEEfFZxd1sn4ojifhsCQ&dib_tag=se&keywords=laptop&qid=1722276228&sprefix=laptop%2Caps%2C483&sr=8-3
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249.,4.1 out of 5 stars,https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/ref=sr_1_4?crid=21S8OXJT0EGY9&dib=eyJ2IjoiMSJ9.5b3mhwD9PdnPIUWzyX2WWbZpxLmMEX-arquJnDUczxjz1LlXIgeeg5xb1ruiOxga1k7ITCsEStfhUHhTf6AtJE95j26SzhfhMEoerfcnHe4EhV0oBg34y8wzoS7NPqekq6TlcEsw8qUaAISl79YE1BXoqLX5rUlBAzQme-N5j9UO7qDkZcvLpSCB_OzTGn7LG6tgYvSGTe4DDdEB0SNR2UuP2p28fQCRwAYo_zI2_1I.ClYZ0xF7BTqDkxD8P6oA3hYZEEfFZxd1sn4ojifhsCQ&dib_tag=se&keywords=laptop&qid=1722276228&sprefix=laptop%2Caps%2C483&sr=8-4
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",334.,4.5 out of 5 stars,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_5?crid=21S8OXJT0EGY9&dib=eyJ2IjoiMSJ9.5b3mhwD9PdnPIUWzyX2WWbZpxLmMEX-arquJnDUczxjz1LlXIgeeg5xb1ruiOxga1k7ITCsEStfhUHhTf6AtJE95j26SzhfhMEoerfcnHe4EhV0oBg34y8wzoS7NPqekq6TlcEsw8qUaAISl79YE1BXoqLX5rUlBAzQme-N5j9UO7qDkZcvLpSCB_OzTGn7LG6tgYvSGTe4DDdEB0SNR2UuP2p28fQCRwAYo_zI2_1I.ClYZ0xF7BTqDkxD8P6oA3hYZEEfFZxd1sn4ojifhsCQ&dib_tag=se&keywords=laptop&qid=1722276228&sprefix=laptop%2Caps%2C483&sr=8-5
"MAXCases Explorer 4 Rigid Laptop Work-In Case Shock Absorbing Ballistic Nylon Material | Slim Design, Weather-Proof Exterior w/Pocket (Black) (14 Inch)","1,189.",4.2 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTc2MzI5MDY5MDgzNTYzOjE3MjIyNzYyMjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE3OTU3NzM3OTgwMjo6MDo6&url=%2FChromebook-CP514-1H-R0VX-Display-Backlit-Keyboard%2Fdp%2FB0BBFL1JP3%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%253Aamzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%26crid%3D21S8OXJT0EGY9%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TO2dLfUs4WlWXAFfXZ1ZX6X6TczXSWL5KpIja2vtSQIz-2bPRgFP792hVm7t5P8C.tXCag8YzmaveipAKqlDAUvluE553C9FAaNsldmSqSms%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0BBFL1JP3%26pd_rd_r%3Dd6d34eef-97f9-4a68-a868-bd05c94f13a7%26pd_rd_w%3DKan9c%26pd_rd_wg%3DUGABX%26pf_rd_p%3D87cca6c3-69bc-4e61-8131-31d7b61514f0%26pf_rd_r%3DTAXY96WQJ822BPMERZVR%26qid%3D1722276228%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D1-1-320c8157-e12c-4633-a9a3-0e0d4c4cb4b0-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",699.,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTc2MzI5MDY5MDgzNTYzOjE3MjIyNzYyMjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIzNjQ0OTU3NTYwMjo6MTo6&url=%2FLenovo-IdeaPad-Student-Processor-Bluetooth%2Fdp%2FB0CDQTSSTR%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%253Aamzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%26crid%3D21S8OXJT0EGY9%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TO2dLfUs4WlWXAFfXZ1ZX6X6TczXSWL5KpIja2vtSQIz-2bPRgFP792hVm7t5P8C.tXCag8YzmaveipAKqlDAUvluE553C9FAaNsldmSqSms%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CDQTSSTR%26pd_rd_r%3Dd6d34eef-97f9-4a68-a868-bd05c94f13a7%26pd_rd_w%3DKan9c%26pd_rd_wg%3DUGABX%26pf_rd_p%3D87cca6c3-69bc-4e61-8131-31d7b61514f0%26pf_rd_r%3DTAXY96WQJ822BPMERZVR%26qid%3D1722276228%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D1-2-320c8157-e12c-4633-a9a3-0e0d4c4cb4b0-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",299.,4.4 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTc2MzI5MDY5MDgzNTYzOjE3MjIyNzYyMjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0OTUxMjc3MDAwMjo6Mjo6&url=%2FHP-Elitebook-650-G10-Fingerprint%2Fdp%2FB0CQYFNV86%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%253Aamzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%26crid%3D21S8OXJT0EGY9%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TO2dLfUs4WlWXAFfXZ1ZX6X6TczXSWL5KpIja2vtSQIz-2bPRgFP792hVm7t5P8C.tXCag8YzmaveipAKqlDAUvluE553C9FAaNsldmSqSms%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CQYFNV86%26pd_rd_r%3Dd6d34eef-97f9-4a68-a868-bd05c94f13a7%26pd_rd_w%3DKan9c%26pd_rd_wg%3DUGABX%26pf_rd_p%3D87cca6c3-69bc-4e61-8131-31d7b61514f0%26pf_rd_r%3DTAXY96WQJ822BPMERZVR%26qid%3D1722276228%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D1-3-320c8157-e12c-4633-a9a3-0e0d4c4cb4b0-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S mode, 14-dq5009nr (2024)",30.,4.2 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTc2MzI5MDY5MDgzNTYzOjE3MjIyNzYyMjg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI4NDU1OTM3MDMwMjo6Mzo6&url=%2FLenovo-Business-Laptop-i3-1215U-Durability%2Fdp%2FB0CYRKCYVV%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%253Aamzn1.sym.87cca6c3-69bc-4e61-8131-31d7b61514f0%26crid%3D21S8OXJT0EGY9%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.TO2dLfUs4WlWXAFfXZ1ZX6X6TczXSWL5KpIja2vtSQIz-2bPRgFP792hVm7t5P8C.tXCag8YzmaveipAKqlDAUvluE553C9FAaNsldmSqSms%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CYRKCYVV%26pd_rd_r%3Dd6d34eef-97f9-4a68-a868-bd05c94f13a7%26pd_rd_w%3DKan9c%26pd_rd_wg%3DUGABX%26pf_rd_p%3D87cca6c3-69bc-4e61-8131-31d7b61514f0%26pf_rd_r%3DTAXY96WQJ822BPMERZVR%26qid%3D1722276228%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D1-4-320c8157-e12c-4633-a9a3-0e0d4c4cb4b0-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
